IDCLI;IDVENDEDOR;PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
249;25;341;1;12.72;19.90;"2";2;0;0;39.80;39.80;0;19.90;19.90;"2";"-";0;0;0;1;0;0;0;0;0;0;0;19.90;0;0;0;0
249;25;344;1;12.72;19.90;"2";2;0;0;39.80;39.80;0;19.90;19.90;"2";"-";0;0;0;1;0;0;0;0;0;0;0;19.90;0;0;0;0
249;25;345;1;12.72;19.90;"2";2;0;0;39.80;39.80;0;19.90;19.90;"2";"-";0;0;0;1;0;0;0;0;0;0;0;19.90;0;0;0;0
249;25;372;2;52.40;69.80;"2";4;0;0;139.60;139.60;0;69.80;69.80;"2";"-";0;0;0;2;0;0;0;0;0;0;0;69.80;0;0;0;0
249;25;373;2;52.40;69.80;"2";4;0;0;139.60;139.60;0;69.80;69.80;"2";"-";0;0;0;2;0;0;0;0;0;0;0;69.80;0;0;0;0
249;25;374;4;104.80;139.60;"2";8;0;0;279.20;279.20;0;139.60;139.60;"2";"-";0;0;0;4;0;0;0;0;0;0;0;139.60;0;0;0;0
249;25;649;4;125.20;187.60;"2";8;0;0;375.20;375.20;0;187.60;187.60;"2";"-";0;0;0;4;0;0;0;0;0;0;0;187.60;0;0;0;0
249;25;773;2;52.40;69.80;"2";4;0;0;139.60;139.60;0;69.80;69.80;"2";"-";0;0;0;2;0;3;0;0;0;0;0;69.80;0;125.70;0;0
249;25;774;2;52.40;69.80;"2";4;0;0;139.60;139.60;0;69.80;69.80;"2";"-";0;0;0;2;0;1;0;0;0;0;0;69.80;0;41.90;0;0
249;25;889;1;26.02;64.90;"2";2;0;0;129.80;129.80;0;64.90;64.90;"2";"-";0;0;0;1;0;0;0;0;0;0;0;64.90;0;0;0;0
249;25;993;2;73.44;177.80;"1";0;0;355.60;355.60;0;0;237.07;237.07;"1";"-";0;0;4;2;0;0;0;0;0;0;355.60;177.80;0;0;0;0
249;25;1019;5;40.90;94.50;"1";1;0;179.10;189;9.90;0;122.70;122.70;"1";"-";0;0;9;5;0;0;0;0;0;0;179.10;94.50;0;0;0;0
249;25;1064;2;28.52;71.28;"2";4;0;0;142.56;142.56;0;71.28;71.28;"2";"-";0;0;0;2;0;0;0;0;0;0;0;71.28;0;0;0;0
249;25;1162;1;36.65;54.98;"2";2;0;0;109.96;109.96;0;54.98;54.98;"2";"-";0;0;0;1;0;0;0;0;0;0;0;54.98;0;0;0;0
249;25;1163;2;73.30;109.96;"2";4;0;0;219.92;219.92;0;109.96;109.96;"2";"-";0;0;0;2;0;0;0;0;0;0;0;109.96;0;0;0;0
249;25;1187;1;14.92;22.90;"2";2;0;0;45.80;45.80;0;22.90;22.90;"2";"-";0;0;0;1;0;0;0;0;0;0;0;22.90;0;0;0;0
