IDVENDEDOR;PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
0;198;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;2;0;0;0;0;0;0;0;148.06;0;0
0;203;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;6;0;0;0;0;0;0;0;323.40;0;0
0;210;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;211;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;6;0;0;0;0;0;0;0;359.40;0;0
0;215;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;1;0;0;0;0;0;0;0;73.03;0;0
0;219;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;226;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;234;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;243;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;2;0;0;0;0;0;0;0;180.10;0;0
0;245;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;249;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;251;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;6;0;0;0;0;0;0;0;540.28;0;0
0;272;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;6;7;0;0;0;0;0;0;387.87;466.06;0;0
0;273;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;5;3;0;0;0;0;0;0;317.50;198.01;0;0
0;274;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;4;3;0;0;0;0;0;0;268.06;198.01;0;0
