FLOJA;IDPEDIDO;SI_CAIXA;SI_NUMFECH;FVALDEV;FDESCONTO;FSUBSIDIO;FCOMISSAO;FVALLOCA;FGDEV;FCODOP;FG_FAT;FTV;FTIPOVEN;FTIPODIG;COD_MOD;FVALES;FVALCH;FVALCT;FVALCV;FVALCA;FCARTAO
1;"L1P20476";1;1;0;20.72;0;0;0;"V";"6.102";"S";"S";"5";"M";"55";0;0;0;0;374.68;1
1;"L1P20471";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";10.00;0;57.90;0;0;1
1;"L1V20482";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;771.30;1
1;"L1V20485";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;823.43;1
1;"L1V20479";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1202;1
1;"L1P20483";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;1123.08;1
1;"L1P20480";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;48.38;0;0;1
1;"L1P20478";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;1321.10;1
1;"L1V20486";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;171.30;1
1;"L1P20489";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;569.40;1
1;"L1P20458";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;1028.50;0;0;1
1;"L1P20490";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;1492.50;1
1;"L1P20487";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;505.80;1
1;"L1P20491";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;4070.38;1
1;"L1P20501";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"3";"V";"55";0;0;1748.30;0;0;2
1;"L1V20492";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;5588.70;1
1;"L1P19902";1;1;0;33.00;0;0;0;"V";"6.102";"S";"";"5";"M";"55";0;0;0;0;567.04;1
1;"L1V20495";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1734.20;1
1;"L1V20498";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;228.90;0;0;1
